frame_idx,marker_id,x,y
0,0,388.0759048461914,410.3978633880615
0,1,391.25244140625,413.8290023803711
0,2,391.41307830810547,413.4744358062744
0,3,391.7238998413086,413.0632781982422
0,4,392.8096008300781,414.7717094421387
0,5,393.9916229248047,414.51953887939453
0,6,396.50840759277344,414.06572341918945
0,7,400.52310943603516,407.7110481262207
0,8,405.0680923461914,407.8586769104004
0,9,389.05548095703125,402.47448921203613
0,10,390.6473159790039,402.7044868469238
0,11,386.80816650390625,370.21785736083984
0,12,413.2035446166992,380.25386810302734
0,14,419.0448760986328,394.24381256103516
0,16,408.6020278930664,420.91100692749023
0,18,407.8651809692383,428.1643009185791
0,20,407.7689743041992,424.9500274658203
0,22,407.625732421875,420.5426502227783
0,23,376.86229705810547,278.65087509155273
0,24,395.35755157470703,277.97264099121094
0,25,372.53562927246094,204.85087394714355
0,26,383.6600875854492,206.0229778289795
0,27,375.70159912109375,165.72715759277344
0,28,384.19246673583984,166.71096324920654
0,29,376.5687942504883,160.42585372924805
0,30,384.8784637451172,162.7218532562256
0,31,374.49424743652344,152.6742696762085
0,32,379.84058380126953,151.39350414276123
0,100,403.7683868408203,340.4937744140625
0,101,406.45957946777344,357.0919418334961
0,102,409.7052764892578,377.8576183319092
0,103,408.0132293701172,397.6026248931885
0,104,405.0978469848633,413.9110279083252
0,105,418.7300491333008,394.96636390686035
0,106,416.92073822021484,419.3224239349365
0,107,405.56175231933594,423.84839057922363
0,108,395.45841217041016,423.0140018463135
0,109,412.2931671142578,396.55540466308594
0,110,409.6073532104492,421.2744998931885
0,111,398.4234619140625,424.01098251342773
0,112,389.6283721923828,420.23128509521484
0,113,404.67395782470703,396.72706604003906
0,114,401.8450927734375,418.2836723327637
0,115,392.4388885498047,419.2149353027344
0,116,385.27156829833984,414.54028129577637
0,117,397.1445846557617,395.60394287109375
0,118,395.0515365600586,411.98412895202637
0,119,388.68824005126953,414.96548652648926
0,120,383.15494537353516,413.4357261657715
1,0,396.98951065540314,403.18993628025055
1,1,401.430783867836,411.115964949131
1,2,401.4966118335724,410.76252311468124
1,3,401.68309450149536,410.36400228738785
1,4,402.1651190519333,411.6566437482834
1,5,402.72041857242584,411.4123959839344
1,6,403.85754466056824,411.058781594038
1,7,404.8094058036804,406.2568509578705
1,8,407.3688292503357,405.22162556648254
1,9,395.86389780044556,397.8763908147812
1,10,396.2342596054077,397.97717571258545
1,11,400.55824652314186,370.50250120460987
1,12,406.85390412807465,369.2417737841606
